Time Agent Velocity distanceToNearestPerson distanceToNearestObstacle
28.5445 9 0.282773 0.925176 2.34787
28.5445 10 0.333571 1.92537 2.5807
28.5445 11 0.141734 1.59432 2.18403
28.5445 12 0.822365 1.68467 2.9
28.5445 13 0.133901 1.3821 2.10297
28.5445 14 0.700324 1.79213 2.08147
28.5445 15 0.544231 2.85348 1.45
28.5445 16 0.719778 1.64093 2.44182
28.5445 17 0.338101 0.925176 2.2
28.5445 18 0.651277 1.79213 2.8
28.5445 19 0.275113 2.31638 1.7
28.5445 20 0.197786 1.3821 2
29.5504 0 0 1.81892 1.69189
29.5504 1 0.594545 0.944429 2.45
29.5504 2 0.658985 1.45274 2.11483
29.5504 3 0.272576 3.72576 2.4
29.5504 4 0.345966 1.61576 1.35
29.5504 5 0.15815 2.6727 1.65
29.5504 6 0.251223 0.944429 2.4
29.5504 7 0.585685 1.45274 1.53379
29.5504 8 0.475965 2.6727 1.14237
29.5504 9 0.223464 0.889055 2.59422
29.5504 10 0.547428 1.5339 2.15058
29.5504 11 0.299241 1.81892 2.29401
29.5504 12 0.936025 1.61576 2.3
29.5504 13 0.305799 1.33439 2.04267
29.5504 14 0.620276 1.74417 1.4089
29.5504 15 0.566149 2.24188 1.45602
29.5504 16 0.585961 1.49768 2.9
29.5504 17 0.282731 0.889055 2.05
29.5504 18 0.630412 1.74417 2.93981
29.5504 19 0.421775 2.21557 1.5
29.5504 20 0.361051 1.33439 2.3
30.5592 0 0.55 1.83126 1.81728
30.5592 1 0.687761 1.29264 2.57002
30.5592 2 0.586125 1.37926 1.8
30.5592 3 0.38186 4.051 2.55
30.5592 4 0.48639 1.68422 1.35
30.5592 5 0.120469 2.99285 1.65
30.5592 6 0.285298 1.29264 2.15
30.5592 7 0.56434 1.37926 1.86011
30.5592 8 0.580575 2.99285 1.15109
30.5592 9 0.170242 0.864467 2.75
30.5592 10 0.674916 1.66675 1.56924
30.5592 11 0.321866 1.63918 2.45967
30.5592 12 1.00259 1.68422 1.65
30.5592 13 0.506903 1.39141 2.07966
30.5592 14 0.464707 1.82462 0.986154
30.5592 15 0.490382 1.70544 1.5
30.5592 16 0.407703 1.53146 2.5
30.5592 17 0.244293 0.864467 1.9
30.5592 18 0.588537 1.82462 2.82179
30.5592 19 0.559324 2.21231 1.35
30.5592 20 0.488239 1.39141 2.3
31.5655 0 0.6 1.55048 1.75
31.5655 1 0.677211 1.88481 1.9105
31.5655 2 0.355359 1.49772 1.50333
31.5655 3 0.528476 3.90601 2.55
31.5655 4 0.642698 1.87625 1.55
31.5655 5 0.329162 3.13538 1.65
31.5655 6 0.352911 1.88481 1.95
31.5655 7 0.494344 1.12669 2.35053
31.5655 8 0.755744 3.11481 1.58114
31.5655 9 0.136309 0.858133 2.65
31.5655 10 0.601804 2.06076 0.948683
31.5655 11 0.241609 1.12669 2.42745
31.5655 12 0.642382 1.87625 1
31.5655 13 0.644602 1.49636 2.33773
31.5655 14 0.676962 1.76377 1.17154
31.5655 15 0.272882 1.51185 1.52069
31.5655 16 0.372674 1.49636 2.35
31.5655 17 0.187683 0.858133 1.85
